Device ID,4 x 4
Export Time,"06/05/2026, 3:43:21 AM"
Sample Frequency,1 MIN
Start Time,"06/04/2026, 10:55:00 PM"
End Time,"06/05/2026, 3:43:59 AM"
Temperature Units,℉
EC Units,μS/cm
Leaf Temperature Offset,0

Time,Temperature (Inside),Relative Humidity (Inside),VPD (Inside),Temperature (Outside),Relative Humidity (Outside),VPD (Outside)

"06/04/2026, 10:56:00 PM",72.10,52.70,1.27,74.60,49.80,1.43

"06/04/2026, 10:57:00 PM",72.30,57.70,1.14,74.80,49.80,1.43

"06/04/2026, 10:58:00 PM",72.50,52.50,1.29,74.80,49.40,1.43

"06/04/2026, 10:59:00 PM",72.50,52.40,1.29,74.80,49.20,1.43

"06/04/2026, 11:00:00 PM",72.50,52.30,1.29,74.90,49.10,1.43

"06/04/2026, 11:01:00 PM",72.50,52.30,1.29,74.80,49.10,1.43

"06/04/2026, 11:02:00 PM",72.50,52.30,1.29,74.90,49.10,1.43

"06/04/2026, 11:03:00 PM",72.60,52.20,1.31,74.90,49.00,1.46

"06/04/2026, 11:04:00 PM",72.60,52.20,1.31,74.90,49.00,1.43

"06/04/2026, 11:05:00 PM",72.60,52.20,1.31,74.90,49.10,1.43

"06/04/2026, 11:06:00 PM",72.70,52.10,1.31,74.90,48.90,1.46

"06/04/2026, 11:07:00 PM",72.70,52.00,1.31,74.90,49.00,1.43

"06/04/2026, 11:08:00 PM",72.80,51.90,1.32,75.10,49.00,1.43

"06/04/2026, 11:09:00 PM",72.90,51.80,1.32,75.20,48.80,1.46

"06/04/2026, 11:10:00 PM",72.90,51.70,1.33,75.30,48.70,1.46

"06/04/2026, 11:11:00 PM",73.00,51.50,1.34,75.30,48.60,1.46

"06/04/2026, 11:12:00 PM",73.00,51.50,1.34,75.30,48.60,1.46

"06/04/2026, 11:13:00 PM",73.10,51.40,1.34,75.40,48.60,1.46

"06/04/2026, 11:14:00 PM",73.20,51.30,1.35,75.40,48.60,1.46

"06/04/2026, 11:15:00 PM",73.20,51.20,1.36,75.40,48.60,1.46

"06/04/2026, 11:16:00 PM",73.20,51.10,1.36,75.40,48.70,1.46

"06/04/2026, 11:17:00 PM",73.30,51.10,1.36,75.40,48.70,1.46

"06/04/2026, 11:18:00 PM",73.40,51.00,1.37,75.40,48.70,1.46

"06/04/2026, 11:19:00 PM",73.40,51.00,1.37,75.40,48.60,1.46

"06/04/2026, 11:20:00 PM",73.50,50.90,1.38,75.40,48.70,1.46

"06/04/2026, 11:21:00 PM",73.50,50.80,1.39,75.50,48.50,1.46

"06/04/2026, 11:22:00 PM",73.60,50.80,1.39,75.50,48.50,1.46

